count				MSE
1226				0.001773
1227				0.001769
1228				0.001766
1229				0.001763
1230				0.001760
1231				0.001756
1232				0.001753
1233				0.001750
1234				0.001747
1235				0.001744
1236				0.001740
1237				0.001737
1238				0.001734
1239				0.001731
1240				0.001728
1241				0.001725
1242				0.001721
1243				0.001718
1244				0.001715
1245				0.001712
1246				0.001709
1247				0.001706
1248				0.001703
1249				0.001700
1250				0.001697
1251				0.001694
1252				0.001691
1253				0.001687
1254				0.001684
1255				0.001681
1256				0.001678
1257				0.001675
1258				0.001672
1259				0.001669
1260				0.001666
1261				0.001663
1262				0.001660
1263				0.001658
1264				0.001655
1265				0.001652
1266				0.001649
1267				0.001646
1268				0.001643
1269				0.001640
1270				0.001637
1271				0.001634
1272				0.001631
1273				0.001628
1274				0.001625
1275				0.001623
1276				0.001620
1277				0.001617
1278				0.001614
1279				0.001611
1280				0.001608
1281				0.001606
1282				0.001603
1283				0.001600
1284				0.001597
1285				0.001594
1286				0.001592
1287				0.001589
1288				0.001586
1289				0.001583
1290				0.001581
1291				0.001578
1292				0.001575
1293				0.001572
1294				0.001570
1295				0.001567
1296				0.001564
1297				0.001561
1298				0.001559
1299				0.001556
1300				0.001553
1301				0.001551
1302				0.001548
1303				0.001545
1304				0.001543
1305				0.001540
1306				0.001538
1307				0.001535
1308				0.001532
1309				0.001530
1310				0.001527
1311				0.001524
1312				0.001522
1313				0.001519
1314				0.001517
1315				0.001514
1316				0.001512
1317				0.001509
1318				0.001506
1319				0.001504
1320				0.001501
1321				0.001499
1322				0.001496
1323				0.001494
1324				0.001491
1325				0.001489
1326				0.001486
1327				0.001484
1328				0.001481
1329				0.001479
1330				0.001476
1331				0.001474
1332				0.001471
1333				0.001469
1334				0.001467
1335				0.001464
1336				0.001462
1337				0.001459
1338				0.001457
1339				0.001454
1340				0.001452
1341				0.001450
1342				0.001447
1343				0.001445
1344				0.001442
1345				0.001440
1346				0.001438
1347				0.001435
1348				0.001433
1349				0.001431
1350				0.001428
1351				0.001426
1352				0.001424
1353				0.001421
1354				0.001419
1355				0.001417
1356				0.001414
1357				0.001412
1358				0.001410
1359				0.001407
1360				0.001405
1361				0.001403
1362				0.001401
1363				0.001398
1364				0.001396
1365				0.001394
1366				0.001392
1367				0.001389
1368				0.001387
1369				0.001385
